ID Tarifa;Continente;Pais;Moneda (ISO)
E0;Africa;Algeria;EUR
E0;Africa;Angola;EUR
E0;Africa;Benin;EUR
E0;Africa;Botswana;EUR
E0;Africa;Burkina Faso;EUR
E0;Africa;Burundi;EUR
E0;Africa;Cape Verde;EUR
E0;Africa;Cameroon;EUR
E0;Africa;Chad;EUR
E0;Africa;Comoros;EUR
E0;Africa;Cote d'Ivoire;EUR
E0;Africa;Egypt;EUR
E0;Africa;Eritrea;EUR
E0;Africa;Eswatini;EUR
E0;Africa;Ethiopia;EUR
E0;Africa;Gabon;EUR
E0;Africa;Gambia;EUR
E0;Africa;Ghana;EUR
E0;Africa;Guinea;EUR
E0;Africa;Guinea-Bissau;EUR
E0;Africa;Equatorial Guinea;EUR
E0;Africa;Kenya;EUR
E0;Africa;Lesotho;EUR
E0;Africa;Liberia;EUR
E0;Africa;Libya;EUR
E0;Africa;Madagascar;EUR
E0;Africa;Malawi;EUR
E0;Africa;Mali;EUR
E0;Africa;Morocco;EUR
E0;Africa;Mauritius;EUR
E0;Africa;Mauritania;EUR
E0;Africa;Mozambique;EUR
E0;Africa;Namibia;EUR
E0;Africa;Niger;EUR
E0;Africa;Nigeria;EUR
E0;Africa;Central African Republic;EUR
E0;Africa;Republic of the Congo;EUR
E0;Africa;Democratic Republic of the Congo;EUR
E0;Africa;Rwanda;EUR
E0;Africa;Sao Tome and Principe;EUR
E0;Africa;Senegal;EUR
E0;Africa;Seychelles;EUR
E0;Africa;Sierra Leone;EUR
E0;Africa;Somalia;EUR
E0;Africa;South Africa;EUR
E0;Africa;Sudan;EUR
E0;Africa;South Sudan;EUR
E0;Africa;Tanzania;EUR
E0;Africa;Togo;EUR
E0;Africa;Tunisia;EUR
E0;Africa;Uganda;EUR
E0;Africa;Djibouti;EUR
E0;Africa;Zambia;EUR
E0;Africa;Zimbabwe;EUR
E0;Americas;Antigua and Barbuda;EUR
E0;Americas;Argentina;EUR
E0;Americas;Bahamas;EUR
E0;Americas;Barbados;EUR
E0;Americas;Belize;EUR
E0;Americas;Bolivia;EUR
E0;Americas;Brazil;EUR
E0;Americas;Chile;EUR
E0;Americas;Colombia;EUR
E0;Americas;Costa Rica;EUR
E0;Americas;Cuba;EUR
E0;Americas;Dominica;EUR
E0;Americas;Ecuador;EUR
E0;Americas;El Salvador;EUR
E0;Americas;Grenada;EUR
E0;Americas;Guatemala;EUR
E0;Americas;Guyana;EUR
E0;Americas;Haiti;EUR
E0;Americas;Honduras;EUR
E0;Americas;Jamaica;EUR
E0;Americas;Mexico;EUR
E0;Americas;Nicaragua;EUR
E0;Americas;Panama;EUR
E0;Americas;Paraguay;EUR
E0;Americas;Peru;EUR
E0;Americas;Dominican Republic;EUR
E0;Americas;Saint Kitts and Nevis;EUR
E0;Americas;Saint Vincent and the Grenadines;EUR
E0;Americas;Saint Lucia;EUR
E0;Americas;Suriname;EUR
E0;Americas;Trinidad and Tobago;EUR
E0;Americas;Uruguay;EUR
E0;Americas;Venezuela;EUR
E0;Asia;Afghanistan;EUR
E0;Asia;Saudi Arabia;EUR
E0;Asia;Armenia;EUR
E0;Asia;Azerbaijan;EUR
E0;Asia;Bahrain;EUR
E0;Asia;Bangladesh;EUR
E0;Asia;Bhutan;EUR
E0;Asia;Brunei;EUR
E0;Asia;Cambodia;EUR
E0;Asia;Qatar;EUR
E0;Asia;China;EUR
E0;Asia;Cyprus;EUR
E0;Asia;North Korea;EUR
E0;Asia;South Korea;EUR
E0;Asia;United Arab Emirates;EUR
E0;Asia;Philippines;EUR
E0;Asia;Georgia;EUR
E0;Asia;India;EUR
E0;Asia;Indonesia;EUR
E0;Asia;Iraq;EUR
E0;Asia;Iran;EUR
E0;Asia;Israel;EUR
E0;Asia;Japan;EUR
E0;Asia;Jordan;EUR
E0;Asia;Kazakhstan;EUR
E0;Asia;Kyrgyzstan;EUR
E0;Asia;Kuwait;EUR
E0;Asia;Laos;EUR
E0;Asia;Lebanon;EUR
E0;Asia;Malaysia;EUR
E0;Asia;Maldives;EUR
E0;Asia;Mongolia;EUR
E0;Asia;Myanmar;EUR
E0;Asia;Nepal;EUR
E0;Asia;Oman;EUR
E0;Asia;Pakistan;EUR
E0;Asia;Palestine;EUR
E0;Asia;Russia;EUR
E0;Asia;Singapore;EUR
E0;Asia;Syria;EUR
E0;Asia;Sri Lanka;EUR
E0;Asia;Thailand;EUR
E0;Asia;Tajikistan;EUR
E0;Asia;Timor-Leste;EUR
E0;Asia;Turkmenistan;EUR
K0;Asia;Turkey;EUR
E0;Asia;Uzbekistan;EUR
E0;Asia;Vietnam;EUR
E0;Asia;Yemen;EUR
E0;Europe;Albania;EUR
E0;Europe;Germany;EUR
00;Europe;Andorra;EUR
E0;Europe;Austria;EUR
E0;Europe;Belgium;EUR
E0;Europe;Belarus;EUR
E0;Europe;Bosnia and Herzegovina;EUR
E0;Europe;Bulgaria;EUR
E0;Europe;Croatia;EUR
E0;Europe;Denmark;EUR
E0;Europe;Slovakia;EUR
E0;Europe;Slovenia;EUR
00;Europe;Spain;EUR
E0;Europe;Estonia;EUR
E0;Europe;Finland;EUR
E0;Europe;France;EUR
E0;Europe;Greece;EUR
E0;Europe;Hungary;EUR
E0;Europe;Ireland;EUR
E0;Europe;Iceland;EUR
E0;Europe;Italy;EUR
E0;Europe;Kosovo;EUR
E0;Europe;Latvia;EUR
E0;Europe;Liechtenstein;EUR
E0;Europe;Lithuania;EUR
E0;Europe;Luxembourg;EUR
E0;Europe;Malta;EUR
E0;Europe;Moldova;EUR
E0;Europe;Monaco;EUR
E0;Europe;Montenegro;EUR
E0;Europe;Norway;EUR
E0;Europe;Netherlands;EUR
P1;Europe;Poland;PLN
00;Europe;Portugal;EUR
30;Europe;United Kingdom;GBP
72;Europe;Czech Republic;CZK
E0;Europe;Romania;EUR
E0;Europe;San Marino;EUR
E0;Europe;Serbia;EUR
E0;Europe;Sweden;EUR
E0;Europe;Switzerland;EUR
E0;Europe;Ukraine;EUR
E0;Europe;Vatican City;EUR
E0;Oceania;Australia;EUR
E0;Oceania;Fiji;EUR
E0;Oceania;Marshall Islands;EUR
E0;Oceania;Solomon Islands;EUR
E0;Oceania;Kiribati;EUR
E0;Oceania;Micronesia;EUR
E0;Oceania;Nauru;EUR
E0;Oceania;New Zealand;EUR
E0;Oceania;Palau;EUR
E0;Oceania;Papua New Guinea;EUR
E0;Oceania;Samoa;EUR
E0;Oceania;Tonga;EUR
E0;Oceania;Tuvalu;EUR
E0;Oceania;Vanuatu;EUR
